"SourcePath","ArtifactClass","Description","DurableValue","BrainyOverlap","PrimaryDisposition","ConceptualTarget","MigrationRisk","EvidenceConfidence","Rationale","SizeBytes","ModifiedLocal","SHA256"
"09_TEMP/HERMES_OBSIDIAN_CIS002B_WORK_NESTED_OBSIDIAN_DIAG_R1.20260704_004653/CIS002B.RUN_REPORT.txt","TEMPORARY_EXECUTION_EVIDENCE","Temporary bootstrap/diagnostic run artifacts.","LOW","NONE","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Do not transfer into Brainy; retain only with source archive.","764","2026-07-04T00:47:02.1442223-04:00","C200E905B6A119EEA17758CFC4C23A2567D5379CEB3F571CFD79C4BBA9F1EBDA"
"09_TEMP/HERMES_OBSIDIAN_CIS003_WORK_NESTED_VAULT_DECISION_PACKAGE_R1.20260704_005527/CIS003.RUN_REPORT.txt","TEMPORARY_EXECUTION_EVIDENCE","Temporary bootstrap/diagnostic run artifacts.","LOW","NONE","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Do not transfer into Brainy; retain only with source archive.","911","2026-07-04T00:55:27.6264754-04:00","A9687043B93F70267088D4FE7BC84AB1623A0B6617079F505C8D08A443D334AF"
"09_TEMP/HERMES_OBSIDIAN_CIS004A_OBSIDIAN_RUNTIME_VAULT_CHECK_R1.20260704_011326/CIS004A.ERROR.20260704_011326.txt","TEMPORARY_EXECUTION_EVIDENCE","Temporary bootstrap/diagnostic run artifacts.","LOW","NONE","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Do not transfer into Brainy; retain only with source archive.","210","2026-07-04T01:13:26.7734453-04:00","D75018FAEAF100C0B9EBB5123653AA43FF0EED266F88241E41C6E56B15AAC0BE"
"09_TEMP/HERMES_OBSIDIAN_CIS004A_OBSIDIAN_RUNTIME_VAULT_CHECK_R2.20260704_110116/CIS004A.RUN_REPORT.txt","TEMPORARY_EXECUTION_EVIDENCE","Temporary bootstrap/diagnostic run artifacts.","LOW","NONE","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Do not transfer into Brainy; retain only with source archive.","877","2026-07-04T11:01:16.2432679-04:00","7162AA6FA50354823D63EF796D0492C0B5AF76A0BC0B5F853E67BE1BA102229C"
"09_TEMP/README.TEMP.md","TEMPORARY_EXECUTION_EVIDENCE","Temporary bootstrap/diagnostic run artifacts.","LOW","NONE","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Do not transfer into Brainy; retain only with source archive.","377","2026-07-03T23:41:54.0935349-04:00","3CB590E2337EA6AC828E9F7458417A31D741617A423D191D9481B7EA6743D2DA"
"10_OUTPUTS/CIS002B.WORK_NESTED_OBSIDIAN_DIAG.INVENTORY.20260704_004653.csv","OBSIDIAN_DIAGNOSTIC_EVIDENCE","Vault/plugin/config diagnostic evidence.","MEDIUM","LOW","DEFER_TOOL_DECISION","Later Brainy tool review evidence","LOW","HIGH","Potentially useful only when evaluating Obsidian and existing vault state.","8292","2026-07-04T00:47:02.1202988-04:00","F5357CFB3D000A2DCDA70E30FAEAABD49B77DBA7E3C2CDEA98EAF45FCC3DC351"
"10_OUTPUTS/CIS002B.WORK_NESTED_OBSIDIAN_DIAG.REPORT.20260704_004653.txt","OBSIDIAN_DIAGNOSTIC_EVIDENCE","Vault/plugin/config diagnostic evidence.","MEDIUM","LOW","DEFER_TOOL_DECISION","Later Brainy tool review evidence","LOW","HIGH","Potentially useful only when evaluating Obsidian and existing vault state.","3461","2026-07-04T00:47:02.1412279-04:00","D2DB43339B06ADE2450D4CA0D27DF89F2D138FAC1C154455EB3429FB401A83FF"
"10_OUTPUTS/CIS002B.WORK_NESTED_OBSIDIAN_DIAG.TARGET_SUMMARY.20260704_004653.csv","OBSIDIAN_DIAGNOSTIC_EVIDENCE","Vault/plugin/config diagnostic evidence.","MEDIUM","LOW","DEFER_TOOL_DECISION","Later Brainy tool review evidence","LOW","HIGH","Potentially useful only when evaluating Obsidian and existing vault state.","1458","2026-07-04T00:47:02.1202988-04:00","3CAA4C42D3C1E3A68F5BED54906CEE9C763C3EA951E74603BF4B6564318EC8B9"
"10_OUTPUTS/CIS003.WORK_NESTED_VAULT_COMPARISON.20260704_005527.csv","OBSIDIAN_DIAGNOSTIC_EVIDENCE","Vault/plugin/config diagnostic evidence.","MEDIUM","LOW","DEFER_TOOL_DECISION","Later Brainy tool review evidence","LOW","HIGH","Potentially useful only when evaluating Obsidian and existing vault state.","1366","2026-07-04T00:55:27.5799337-04:00","08C6A9C9EDAF870DC00FB7018089DD718FC345B2557A7CF8C2F6BDE1A95D3002"
"10_OUTPUTS/CIS003.WORK_NESTED_VAULT_DECISION_PACKAGE.20260704_005527.txt","OBSIDIAN_DIAGNOSTIC_EVIDENCE","Vault/plugin/config diagnostic evidence.","MEDIUM","LOW","DEFER_TOOL_DECISION","Later Brainy tool review evidence","LOW","HIGH","Potentially useful only when evaluating Obsidian and existing vault state.","4042","2026-07-04T00:55:27.6243140-04:00","1D2F380387E5E4C835A8329A35E679E03CD4BD4A394CB557ED7A3D451A981B4F"
"10_OUTPUTS/CIS003.WORK_OBSIDIAN_JSON_SIGNALS.20260704_005527.csv","OBSIDIAN_DIAGNOSTIC_EVIDENCE","Vault/plugin/config diagnostic evidence.","MEDIUM","LOW","DEFER_TOOL_DECISION","Later Brainy tool review evidence","LOW","HIGH","Potentially useful only when evaluating Obsidian and existing vault state.","3649","2026-07-04T00:55:27.3856400-04:00","D6836D8E5AA19F614542AA5D8D8C186A36922B6A9A54724C2F80425C9611F237"
"10_OUTPUTS/CIS003.WORK_OBSIDIAN_PLUGIN_COMPARISON.20260704_005527.csv","OBSIDIAN_DIAGNOSTIC_EVIDENCE","Vault/plugin/config diagnostic evidence.","MEDIUM","LOW","DEFER_TOOL_DECISION","Later Brainy tool review evidence","LOW","HIGH","Potentially useful only when evaluating Obsidian and existing vault state.","410","2026-07-04T00:55:27.4190483-04:00","6F09451521E656FF9A7347E3A40F207CD93395FEB8F74E60CA289C7D15779246"
"10_OUTPUTS/CIS004A.MANUAL_VALIDATION_CHECKLIST.20260704_110116.md","OBSIDIAN_DIAGNOSTIC_EVIDENCE","Vault/plugin/config diagnostic evidence.","MEDIUM","LOW","DEFER_TOOL_DECISION","Later Brainy tool review evidence","LOW","HIGH","Potentially useful only when evaluating Obsidian and existing vault state.","2046","2026-07-04T11:01:16.2402720-04:00","AD5C8FF6EF6CC825FFB302ACC209F520FE5B38DE82EB780A7C5D3A9A840F2101"
